Date,Year,Month,Day,Title,Tasks,Region mapped,City,Place,Partner,Whom is confirmed to go,Requesting NGO,Nb réel de participants,Nb prévu de participants?,"Stats contribution
Batiments","Stats contribution
Route",Landuse,Waterways,Forest,Cagnotte Boite à Dons,Sponsor nourriture?
03/05/2017,2017,5,3,Mapathon Université Genève,2608,Goma,Genève,Université Genève,Mouvement des étudiants en géographie,Olivia,CICR,15,20,1135 bâtiments,,,,,,
13/04/2017,2017,4,13,Mapathon Chambéry Université,2705,"Bidibidi zone 1, Ouganda",Chambéry,Université Chambéry,,Martin,,10,,664 bâtiments,33.4km de route,,,,,
13/04/2017,2017,4,13,Mapathon Paris ,2705,"Bidibidi zone 1, Ouganda",Paris,La Paillasse,MSF,Olivia,MSF,30,50,2848 bâtiments ,43.6km de route,,,,170€,MSF pizza et Cagnotte boissons
09/04/2017,2017,4,9,Mapathon Rennes ,2333,Ouahigouya ,Bréteil ,Mairie de Bréteil,,Violaine,Chambéry Ouahigouya,4,pas d'inscriptions,,40 km de routes wouhou,,,,,
23/03/2017,2017,3,23,Mapathon Interne MSF,2705,"Yumbe, Ouganda (Zone 1)",Paris,,,Martin,MSF,20,/,1400 bâtiments,,,,,/,MSF
22/03/2017,2017,3,22,Mapathon festival SIANA,2333,Ouahigouya ,Evry,Université ,,"Martin, Olivia",Chambéry Ouahigouya,35,/,700 bâtiments,500 routes ,130 villages  ,,> (total 3 sessions),,/
19/03/2017,2017,3,19,Atelier Missing Maps Maker Faire,2608,Goma,Grenoble,Maker Faire,"La Coop, La Péniche","Martin, Olivia",ICRC,5,,1400 bâtiments,,,,,,/
15/03/2017,2017,3,15,MM Mapathon ,2333,Ouahigouya ,Toulouse,Catalyseur,Aerospace Valley Université Toulouse 3 FabSpace2.0,"Violaine, Olivia",Chambéry Ouahigouya,37,65,2768 bâtiments,,,,,,Airbus
09/03/2017,2017,3,9,MM Solidarités International,2636,"Borno, Nigeria",Paris,,,"Martin, Olivia",Solidarités International,43,45,5000 bâtiments,500 routes (Muna) + 800 bâtiments (Monguno),,,,,Solidarités
02/02/2017,2017,2,2,MM Genève Humanitarium,"2480, 2483","Ngao, Kenya",Genève,ICRC Humanitarium,ICRC IFRC,"Violaine, Martin, Maeve",CICR,90,104,2640 bâtiments,243 km roads,3.3 km² landuse,,,,
16/01/2017,2017,1,16,MM Avancé Lyon,2333,Ouahigouya,Lyon,CCO Villeurbanne,,Violaine,Chambéry Ouahigouya,14,10,2800 bâtiments,350 km de routes,,,,,
20/12/2016,2016,12,20,Missing Maps in Lyon,"#2333 
",Ouahigouya,"Lyon
",,,Violaine,Chambéry Ouahigouya,17,15,1430 bâtiments,35 km de routes,,,,,Cagnotte participants
15/12/2016,2016,12,15,Missing Maps Madagascar (Pau-Antsiranana),"#2334, #2327","Diana, MG",Pau,,,Benoît,SAHI,17,15,337 bâtis,33km,110 km²,,,,
08/12/2016,2016,12,8,OGP,"#2333 
",Ouahigouya,Paris,Liberté Living Lab,,Martin,Chambéry Ouahigouya,90,89,7125 batiments,192km routes,,,,/,MapBox
06/12/2016,2016,12,6,MSF interne,2379,"Yumbe, Ouganda","Paris
",,,Martin,"MSF
",18,/,3600 batiments,,,,,/,MSF
19/11/2016,2016,11,19,#100mapathons Missing Maps Chambéry-Ouahigouya,"#2333 
",Ouahigouya,Chambéry,Médiathèque Jean-Jaques Rousseau,,"Violaine, Martin",Chambéry Ouahigouya,17,14,4170 bâtiments,100 routes pour 70 km,,,,,
18/11/2016,2016,11,18,#100mapathons Missing Maps Diégo-Bordeaux,#2317,"Diana, MG",Bordeaux ,Maison des étudiants,,"Violaine, Vincent",SAHI,18,-,1817 bâtiments,,,,,,
16/11/2016,2016,11,16,#100mapathons Missing Maps Ambérieu SSI,#2315,"Diana, MG",Amberieu,MJC Ambérieu,,Violaine,SAHI,15,6,550 bâtiments,,,,,84!,Cagnotte participants
12/11/2016,2016,11,12,#100mapathons Mapathon Ivry-Dianguirdé,"Dianguirdé #2215, Koussané #2266",Dianguirdé,Ivry-sur-Seine,,,Martin,Ivry-sur-Seine,25-30,24 (9 eventbrite et 15 asso malienne locale),,337 km routes,,,,/,Ivry
07/11/2016,2016,11,7,,Mwenezi #2286,Zimbabwe,Vienne,,,Martin,MSF,40,/,,,4km² de landuse...,,,/,OeRC
27/10/2016,2016,10,27,,Nsanje #2240,Malawi,Saint Denis,Paris 8,Master Géomatique Paris 8,Violaine,MSF,15,14,,50 km routes,,,,reste 170,
18/10/2016,2016,10,18,,Nsanje #2240 #2171 #2192,Malawi,Chambé GeOnG,Centre de Congrès le Manège,,Violaine,MSF,50,,650 bâtiments,350 km ,,,,,
04/10/2016,2016,10,4,Missing Maps Paris #6,,,Paris,La Ruche Canal,,Martin,MSF,25,27,?,,,,,,Buffet canadien+cagnotte
19/09/2016,2016,9,19,,Intégration avancée dans OSM,"RDC, Sud Soudan, Tchad...",Lyon ,,,Violaine,,10,10,-,,,,,,
12/07/2016,2016,7,12,,1910,"Bunia, RDC",Lyon,,,Violaine,MSF,25,30,923 bâtiments,100km routes,,,,,
09/06/2016,2016,6,9,,1808;1910,"Irak, RDC",Paris,,,"Johan, Claire","Tdh, MSF",30,35,2500 bâtiments,,,,,,
24/05/2016,2016,5,24,,"1808, 1816, 1817","Tikrit, Irak, Bangladesh",Toulouse,,,Violaine,Tdh,29,38,Tikrit: 654 bâtiments,"Tikrit: 17 routes
Ghogadaha: 50 routes ",Ghogadaha: 50 km landuse,,,,
22/05/2016,2016,5,22,,"1808, 1816, 1817","Tikrit, Irak, Bangladesh",Clermont,Groupe ESC Clermont (SOTM),OSM France,"Violaine, martin, johan",Tdh,,,"#1808 : 300 bâtiments 
#1816 : 60 bâtiments","#1808 : 20 km de routes 
#1816 :30 km routes",,,,,
18/05/2016,2016,5,18,,1910,"Bunia, RDC",Genève,MSF Suisse,,"Violaine,Martin",msf ch,"20 (+11 Gre, +3 OSM Africains)",17,5000 bâtiments,245 routes soit 32km,,,,,MSF
18/05/2016,2016,5,18,,1910,"Bunia, RDC",Grenoble,La Coop,Maptime Alpes,Adam,msf ch,11,11,5000 bâtiments,245 routes soit 32km,,,,-,CartoDB
17/05/2016,2016,5,17,,1808,"Tikrit, Irak",Rennes,Pole Numérique de Rennes Villejean,Master SIGAT Université Rennes 2,Martin,Tdh,15,13 inscrits (mais prévu que +),1433 bâtiments ,76.5km highway,,,,/,CartONG
13/05/2016,2016,5,13,,1816,"Ghogadaha, Bangladesh",Marseille,La Ruche,Maison Asie Pacifique,Violaine,Tdh,15,14,90 bâtiments,100 routes,181 zones residentielles ,,,-,-
22/04/2016,2016,4,22,,"1808 (irak),1818 (bangladesh)","Irak, Bangladesh",Lausanne,Terre des Hommes,,Violaine,Tdh,22,29,Tikrit : 1352 bâtiments,"Tikrit : 5km route
1818 : 5 km route
", 1818 : 2km²residential,,,,CartONG
07/04/2016,2016,4,7,,"1695, 1566",RDC-SudKivu/Katanga,Paris ,Mozilla,,Violaine,MSF-UK,45,70,2880 bâtiments,1000 highways (170km),,,,170,
31/03/2016,2016,3,31,,1668/1669,"Harare, capital of Zimbabwe",Bordeaux ,Nomade,Num&Lib,Violaine,MSF-Suisse,35-40,39,2600 bâtiments,65 km de routes,1km2 de landuse,,,,NumetLib (éviter de redemander)
14/03/2016,2016,3,14,,1668/1669,"Harare, capital of Zimbabwe",Lyon,CCO Villeurbanne,Festival mémoire Vive,Violaine,MSF-Suisse,30,30,3800 bâtis (!!!),200 km de routes,,,,-,CCO
23/02/2016,2016,2,23,,1465 1466 1467,Mozambique (East of Tete province),Grenoble,Co-Work,"Idées Territoires, Maptime Alpes",Violaine,MSF-Suisse,35,25,800 bâtis,1275 km de routes,700 zones résidentielles,,,"6,5",Idées Territoire (IGA)
11/02/2016,2016,2,11,,1428 1477 1465 1466 1494,Ouganda,Paris - MSF,Mozilla,MSF,Violaine,MSF-Fr,60,70,presque 700 bâtiments,1700 km de routes,30 km2 de zones résidentielles,,,57€,MSF
03/02/2016,2016,2,3,,1467 1465 1466 ,Mozambique (East of Tete province),Chambery,Université de Savoie,PRISM,Violaine,MSF-Suisse,15,10,800 bâtiments,1200 routes,1200 zones résidentielles,40 rivières,,-,-
18/12/2015,2015,12,18,,"1342, 1390","Nsanje, Malawi",Lyon,CCO Villeurbanne,,"Martin,Violaine",MSF,20,32,3000 batiments,320 portions de routes,presque 400 zones résidentielles,,,,
17/11/2015,2015,11,17,,1343,"Mozambique, Nord Tete",Chambéry,Le Mug,Chambé-Carnet,Martin,MSF,,17,,1200 routes,800 zones résidentielles ,,,,
05/11/2015,2015,11,5,Mapathon Missing Maps Paris #1,1262,"Lubumbashi, RDC",Paris,La Ruche,Social Good Week,"Martin,Violaine",,50,62,5000 bâtis,,,,,,
28/10/2015,2015,10,28,,?,Afghanistan,Grenoble,,,"Martin, Maeve",,10,,,,,,,,
06/12/2014,2014,12,6,Lancement projet Missing Maps,?,?,Paris,Simplon Montreuil,,"Martin, Maeve",MSF,,,,,,,,,
