Date,Year,Month,Day,Title,Tasks,Requesting NGO (project),Region mapped,City,Place,Whom is confirmed to go,Mapathon Partner,Nb PREVU de participants,Nb REEL de participants,"Stats contribution
Batiments","Stats contribution
nombre de Routes","Stats contribution
Route (km)"
25/09/2019,2019,9,25,Mapathon Missing Maps à Grenoble @La Turbine.Coop,6760,Maroni Lab,Guyane,Grenoble,La Turbine.Coop,Hana,Maroni Lab,10,7,340,78 routes (33.3 km),
17/09/2019,2019,9,17,Mapathon Missing Maps à Lyon @Le Tuba,5822,Yaam Solidarité,Burkina Faso,Lyon,Le Tuba,"Léonie, Hana",Yaam Solidarité,14,11,2835,"137 routes (30,2 km)",
12/09/2019,2019,9,12,Mapathon Missing Maps à Paris @La Paillasse,6069,UNHCR,Kenya,Paris,La Paillasse,Léonie,HCR,15,11,1413,"96 routes (20,2 km)",
03/07/2019,2019,7,3,Mapathon Missing Maps à Grenoble @La Turbine.Coop,6174,UNHCR,Kenya,Grenoble,La Turbine.Coop,Hana,HCR,10,9,2614,3.9,
20/06/2019,2019,6,20,Mapathon IHS Markit,6174,UNHCR,Kenya,,IHS Markit,Jennifer Tschopp,HCR,,,,,
20/06/2019,2019,6,20,Mapathon Arvalis,6174,UNHCR,Kenya,Paris,Arvalis,"Jean Paul, Jean Yves",HCR,15,15,3306,20.2,
19/06/2019,2019,6,19,Mapathon Missing Maps à Lyon @Le Tuba,"6068, 5636",UNHCR,Kenya - RDC,Lyon,Le Tuba,Jeanne,HCR,12,11,3811,22.2 - 32.8,
28/05/2019,2019,5,28,Mapathon Missing Maps à Chambéry @Le Mug,6072,UNHCR,Niger,Chambéry,Le Mug,Jeanne,HCR,4,5,1425,,
22/05/2019,2019,5,22,Mapathon Missing Maps à Grenoble @La Turbine.Coop,5636,GPSDDD,RDC,Grenoble,La Turbine.Coop,Hana,OSM RDC,7,5,106,101.6,
21/05/2019,2019,5,21,Mapathon Missing Maps à Lyon @Le Tuba,"5891, 5636",UNHCR,"Ethiopie, RDC",Lyon,Le Tuba,Jeanne,HCR,8,6,511,96.6 + 13,
21/05/2019,2019,5,21,Mapathon Ecoles de Mines d'Alès,"5890, 5891",UNHCR,Ethiopie,Alès,IMT Alès,Hana,HCR,12,10,"42, 139","4, 2.3",
15/05/2019,2019,5,15,Mapathon Missing Maps Age d'Or,5890,UNHCR,Ethiopie,Grenoble,Maison des Habitats,Hana + Océane et Hugo,HCR,20,14,68,0.7,
09/05/2019,2019,5,9,Mapathon Missing Maps Paris @ La Paillasse,5890,UNHCR,Ethiopie,Paris,La Paillasse,Jeanne,HCR,14,5,204,19.4,
07/05/2019,2019,5,7,Mapathon à l'IEDES,5889,UNHCR,Ethiopie,Nogent Sur Marne,IEDES,Jeanne,HCR,12,12,526,7.7,
23/04/2019,2019,4,23,Mapathon Missing Maps à Lyon @Le Tuba,"5861, 5889",UNHCR,Ethiopie,Lyon,Le Tubà,"Jeanne, Hana, Gagan",HCR,9,9,"679, 410","34.7, 5.3",
05/04/2019,2019,4,5,Mapathon Missing Maps Nuit de la Géo à Paris @ La Bellevilloise,5891,UNHCR,Ethiopie,Paris,La Bellevilloise,"Jeanne, Claire + béné",HCR,30,35,2033,68,
05/04/2019,2019,4,5,Mapathon Missing Maps Nuit de la Géo à Chambéry @Technolac,5636,GPSDDD,RDC,Chambéry,Université Le Bourget,"Martin, Gagan + AGS",CartONG,40,20,381,201,
05/04/2019,2019,4,5,Mapathon Missing Maps Nuit de la Géo à Lyon @Hevea,"5847, 5891",UNHCR,Ethiopie,Lyon,Hévéa,Charlotte + béné + AGEAMS,HCR,35,20,2033 - 381,68,
05/04/2019,2019,4,5,#109 - HidroItuango 2 - Bajo Cauca,109,Autre,Colombie,Pau,Université UPPA,Delphine,OSM Colombie,20,17,557,199,
05/04/2019,2019,4,5,Mapathon Missing Maps Nuit de la Géo à Perpignan @Université Via Domitia,5889,UNHCR,Ethiopie,Perpignan,Université Via Domitia,Bénévoles,HCR,8,12,608,16.2,
05/04/2019,2019,4,5,Mapathon Missing Maps Nuit de la Géo à Brest @Fab Lab UBO,5636,GPSDDD,Kalémie,Brest,UBO Open Factory,Bénévoles,CartONG,12,15,381,201,
05/04/2019,2019,4,5,Mapathon Missing Maps Nuit de la Géo à Grenoble @IUGA,"5847, 5891",UNHCR,Ethiopie,Grenoble,IUGA,Manon + béné,HCR,31,45,125 - 2033,68,
05/04/2019,2019,4,5,Mapathon Missing Maps Nuit de la Géo à Saint-Louis @Université Gaston Berger,Autres (690),Autre,Sénégal,Saint Louis,Université Gaston Berger,Bénévoles,,23,14,,,
05/04/2019,2019,4,5,,Autres,Autre,,Bamako,,OSM Mali,,,,,,
05/04/2019,2019,4,5,,Autres (commune de Ouhidah),Autre,Bénin,Calavi, Université d’Abomey-Calavi ,Cartotourisme,DGAT-IGATE-LaCarto,,48,13826 - 22122,1081 - 2587,
05/04/2019,2019,4,5,,Autres,Autre,,Kinshasa,,OSM RDC,,x,100,,,
05/04/2019,2019,4,5,,Autres,Autre,,Tana,Université Ivo Tech Tana,OSM Mada,,,16,,,
05/04/2019,2019,4,5,,Autres,Autre,,Lomé,Faculté des Sciences et de la Société,OSM Toog,,,50,,,
05/04/2019,2019,4,5,,Autres,Autre,,Heidelberg,Université Heidelberg,Melanie,,x,15,1030,87,
05/04/2019,2019,4,5,,Autres (690),Autre,,Milan,Unicersité Politecnico di Milano,Polimappers,,x,20,1588,,
05/04/2019,2019,4,5,,Autres,Autre,,Würzburg,Université Würzburg,,,x,20,1030,87,
05/04/2019,2019,4,5,Mapathon Missing Maps Nuit de la Géo à Besançon @ MSHE Ledoux,5636,GPSDDD,Kalémie,Besançon,Maison des sciences de l'homme et de l'environnement,Bénévoles,CartONG,21,15,381,201,
04/04/2019,2019,4,4,Mapathons Nuit de la Géographie Unilasalle Beauvais,5889,UNHCR,Ethiopie,Beauvais,UniLaSalle,Pierre Saulet,HCR,45,51,5003,142.5,
28/03/2019,2019,3,28,Mapathon Missing Maps à Chambéry @La Dynamo,5847,UNHCR,Ethiopie,Chambéry,La Dynamo,"Jeanne, Manon",HCR,18,26,2122,69.8,
12/03/2019,2019,3,12,Mapathon Missing Maps à Lyon @Le Tuba,5795,Care France,Haiti,Lyon,Le Tuba,"Jeanne, Gagan",Care France,9,10,836,2,
07/03/2019,2019,3,7,Mapathon Missing Maps Paris @ La Paillasse,5795,Care France,Haiti,Paris,La Paillasse,"Jeanne, Jean Yves",Care France,13,10,592,"0,6",
27/02/2019,2019,2,27,Mapathon Missing @La Bibliothèque de Centrale Lyon,5636,GPSDDD,RDC,Ecully,Centrale Lyon,Jeanne,,14,19,490,"302,2",
20/02/2019,2019,2,20,Mapathon IUGA,5758,Comité de réduction des risques,Equateur,Grenoble,IUGA,"Jeanne, Manon",Comité de réduction des risques,20,20,,,
14/02/2019,2019,2,14,Mapathon Missing Maps à Paris @ENSG,5654,Yaam Solidarité,Burkina Faso,Paris,ENSG,"Jeanne, Camille + béné",Yaam,30,30,8096,55,
